transaction_id,blood_bank_id,blood_group,component_type,transaction_type,units,transaction_timestamp,source_donation_id,source_transfer_id,destination_bank_id,status,issue_id
TXNFEA7685CBA,BB002,B+,Plasma,DONATION,1.0,2021-05-14 14:52:00,DONATION0154,,,POSTED,
TXNBFD48F4B11,BB002,B+,Plasma,ISSUE,1.0,2021-05-21 15:58:00,,,,POSTED,ISSUE065C1446B8
TXN0E7662B877,BB002,B+,RBC,ISSUE,2.0,2021-05-22 13:20:00,,,,POSTED,ISSUE6564345CCE
TXNF96481ADB5,BB018,O+,RBC,DONATION,2.0,2021-05-23 13:05:00,DONATION1377,,,POSTED,
TXN76B375AB6D,BB018,O+,Plasma,DONATION,2.0,2021-05-23 15:08:00,DONATION1377,,,POSTED,
TXN49AAC4BBE8,BB020,A-,Plasma,DONATION,1.0,2021-05-27 17:02:00,DONATION1824,,,POSTED,
TXNFA8F842907,BB020,A-,RBC,DONATION,1.0,2021-05-27 18:57:00,DONATION1824,,,POSTED,
TXN608EBECE2B,BB011,B+,Plasma,DONATION,1.0,2021-05-30 09:55:00,DONATION1952,,,POSTED,
TXNA6E5F018D2,BB011,B+,RBC,DONATION,1.0,2021-05-30 10:40:00,DONATION1952,,,POSTED,
TXN1CA5A133E1,BB011,B+,Platelets,DONATION,1.0,2021-05-30 13:10:00,DONATION1952,,,POSTED,
TXNEAC78B8E2A,BB011,B+,Platelets,EXPIRY,1.0,2021-06-04 10:09:00,,,,POSTED,
TXN9BABDC8DA2,BB011,B+,RBC,ISSUE,1.0,2021-06-05 11:47:00,,,,POSTED,ISSUE221D3AAAA5
TXN1993A11D62,BB006,O+,RBC,DONATION,1.0,2021-06-05 15:05:00,DONATION0283,,,POSTED,
TXN5825F5A8D5,BB006,O+,Plasma,DONATION,1.0,2021-06-05 18:13:00,DONATION0283,,,POSTED,
TXNA88F75F24C,BB004,A+,Platelets,DONATION,2.0,2021-06-06 12:20:00,DONATION1769,,,POSTED,
TXN54098EBBA8,BB004,A+,RBC,DONATION,2.0,2021-06-06 17:24:00,DONATION1769,,,POSTED,
TXN366E5E765F,BB004,A+,Plasma,DONATION,2.0,2021-06-06 17:43:00,DONATION1769,,,POSTED,
TXN9CCB77E771,BB004,A+,Platelets,EXPIRY,1.0,2021-06-11 12:50:00,,,,POSTED,
TXNA95E7AFDD5,BB013,O-,RBC,DONATION,3.0,2021-06-13 11:17:00,DONATION1023,,,POSTED,
TXNF68928AD16,BB013,O-,Plasma,DONATION,3.0,2021-06-13 14:21:00,DONATION1023,,,POSTED,
TXND9433B2C89,BB008,O+,Platelets,DONATION,1.0,2021-06-21 10:34:00,DONATION0032,,,POSTED,
TXN821462FE85,BB008,O+,Plasma,DONATION,1.0,2021-06-21 17:12:00,DONATION0032,,,POSTED,
TXN5715FACA15,BB008,O+,RBC,DONATION,1.0,2021-06-21 18:32:00,DONATION0032,,,POSTED,
TXN89278BAEBE,BB008,O+,Plasma,ISSUE,6.0,2021-06-24 14:59:00,,,,POSTED,ISSUE58D03F133E
TXNFE7E2280CE,BB008,O+,Platelets,EXPIRY,1.0,2021-06-26 12:38:00,,,,POSTED,
TXN2FB6661912,BB011,A-,RBC,DONATION,1.0,2021-07-03 09:57:00,DONATION0543,,,POSTED,
TXN4E374EF742,BB011,A-,Plasma,DONATION,1.0,2021-07-03 16:28:00,DONATION0543,,,POSTED,
TXNAD88C180D1,BB011,A-,RBC,ISSUE,1.0,2021-07-04 16:06:00,,,,POSTED,ISSUE77A8E54880
TXN32373DC24D,BB009,O+,RBC,DONATION,1.0,2021-07-07 10:15:00,DONATION0143,,,POSTED,
TXN7CBFED347D,BB009,O+,Plasma,DONATION,1.0,2021-07-07 10:30:00,DONATION0143,,,POSTED,
TXNBEBA61C2AE,BB011,B+,RBC,EXPIRY,1.0,2021-07-11 10:46:00,,,,POSTED,
TXN7903914024,BB005,O+,Platelets,DONATION,1.0,2021-07-13 10:05:00,DONATION1956,,,POSTED,
TXN0E47018126,BB005,O+,RBC,DONATION,1.0,2021-07-13 11:53:00,DONATION1956,,,POSTED,
TXN5A2CB380A1,BB005,O+,Plasma,DONATION,1.0,2021-07-13 15:21:00,DONATION1956,,,POSTED,
TXN8917FB221B,BB009,O+,Plasma,ISSUE,4.0,2021-07-14 10:50:00,,,,POSTED,ISSUE0EEA4D4E6C
TXNA39D01AD6E,BB006,O-,RBC,DONATION,1.0,2021-07-15 13:04:00,DONATION0331,,,POSTED,
TXND9275E6814,BB006,O-,Plasma,DONATION,1.0,2021-07-15 14:55:00,DONATION0331,,,POSTED,
TXNA995AA5E67,BB006,O+,RBC,EXPIRY,1.0,2021-07-17 17:02:00,,,,POSTED,
TXN2A3BBE88F5,BB004,A+,RBC,EXPIRY,2.0,2021-07-18 08:35:00,,,,POSTED,
TXN3CF25C2DAF,BB005,O+,Platelets,EXPIRY,1.0,2021-07-18 14:52:00,,,,POSTED,
TXNA724A40878,BB008,AB-,Plasma,DONATION,1.0,2021-07-20 09:59:00,DONATION1829,,,POSTED,
TXNDA3DC148AC,BB008,AB-,RBC,DONATION,1.0,2021-07-20 12:19:00,DONATION1829,,,POSTED,
TXN74FE41368A,BB005,O+,Platelets,ISSUE,2.0,2021-07-23 12:30:00,,,,POSTED,ISSUE990021F15E
TXN147ED77AEA,BB020,O+,Plasma,DONATION,1.0,2021-07-25 10:05:00,DONATION0243,,,POSTED,
TXN00BCC07AAB,BB020,O+,RBC,DONATION,1.0,2021-07-25 10:10:00,DONATION0243,,,POSTED,
TXND7DF7A2C54,BB013,O-,RBC,EXPIRY,1.0,2021-07-25 10:33:00,,,,POSTED,
TXNE090D7BDDC,BB020,O+,Plasma,ISSUE,3.0,2021-07-29 18:30:00,,,,POSTED,ISSUEF0EA548045
TXN14C5498834,BB015,O-,RBC,DONATION,1.0,2021-07-31 08:37:00,DONATION0956,,,POSTED,
TXN0E5EA60678,BB015,O-,Plasma,DONATION,1.0,2021-07-31 16:10:00,DONATION0956,,,POSTED,
TXNFC67DFE914,BB015,O-,Platelets,DONATION,1.0,2021-07-31 18:50:00,DONATION0956,,,POSTED,
TXN99D5CCBEA6,BB006,B-,Plasma,DONATION,1.0,2021-08-02 08:18:00,DONATION0221,,,POSTED,
TXNB9F89D9695,BB006,B-,RBC,DONATION,1.0,2021-08-02 16:17:00,DONATION0221,,,POSTED,
TXN73A8E17C93,BB015,O-,Platelets,ISSUE,1.0,2021-08-03 11:19:00,,,,POSTED,ISSUED7296B360A
TXNF425CAE08A,BB015,O-,Platelets,EXPIRY,1.0,2021-08-05 10:24:00,,,,POSTED,
TXN5D403EC0B2,BB015,O-,Plasma,ISSUE,1.0,2021-08-06 18:15:00,,,,POSTED,ISSUEF83DD48BF6
TXN2960E3EF6D,BB006,B-,RBC,ISSUE,1.0,2021-08-10 14:04:00,,,,POSTED,ISSUE4DA4970457
TXNCFE124713F,BB011,A-,RBC,EXPIRY,1.0,2021-08-14 18:24:00,,,,POSTED,
TXN509AC94A81,BB009,O+,RBC,EXPIRY,2.0,2021-08-18 13:20:00,,,,POSTED,
TXN04D7E1C30F,BB012,O+,Platelets,DONATION,2.0,2021-08-20 11:50:00,DONATION0433,,,POSTED,
TXN3292F86AE2,BB012,O+,Plasma,DONATION,2.0,2021-08-20 13:32:00,DONATION0433,,,POSTED,
TXNADF8EC3543,BB012,O+,RBC,DONATION,2.0,2021-08-20 18:11:00,DONATION0433,,,POSTED,
TXN3ABEB7EFAD,BB009,O+,Plasma,DONATION,1.0,2021-08-22 09:26:00,DONATION0480,,,POSTED,
TXNC94623E42B,BB009,O+,RBC,DONATION,1.0,2021-08-22 13:43:00,DONATION0480,,,POSTED,
TXND21870489F,BB016,O+,Platelets,DONATION,2.0,2021-08-23 09:32:00,DONATION1120,,,POSTED,
TXN0239B99841,BB016,O+,Plasma,DONATION,2.0,2021-08-23 10:28:00,DONATION1120,,,POSTED,
TXND758705F2F,BB016,O+,RBC,DONATION,2.0,2021-08-23 16:56:00,DONATION1120,,,POSTED,
TXN953DC6FA98,BB012,O+,Platelets,ISSUE,3.0,2021-08-25 14:16:00,,,,POSTED,ISSUEF1F50E1512
TXNE17AEAB6E6,BB009,O+,Plasma,ISSUE,2.0,2021-08-25 14:30:00,,,,POSTED,ISSUE1BB78705D4
TXN8410FC92FA,BB006,O-,RBC,EXPIRY,1.0,2021-08-26 14:17:00,,,,POSTED,
TXN60DABB58DF,BB009,O+,RBC,ISSUE,3.0,2021-08-26 17:12:00,,,,POSTED,ISSUE3EB3EDA761
TXN6840013DBB,BB018,O-,Plasma,DONATION,1.0,2021-08-30 13:51:00,DONATION1273,,,POSTED,
TXN8AAE718CA5,BB012,O+,RBC,ISSUE,2.0,2021-08-30 14:52:00,,,,POSTED,ISSUE0AD5A470B3
TXNA6CDB49410,BB018,O-,RBC,DONATION,1.0,2021-08-30 18:48:00,DONATION1273,,,POSTED,
TXN8FD0DF2DEE,BB020,O+,RBC,EXPIRY,3.0,2021-09-05 10:00:00,,,,POSTED,
TXN3AE8DA7562,BB009,O-,RBC,DONATION,3.0,2021-09-08 12:58:00,DONATION1502,,,POSTED,
TXN574CF639A8,BB009,O-,Plasma,DONATION,3.0,2021-09-08 14:45:00,DONATION1502,,,POSTED,
TXN4A92AE0723,BB014,B-,Plasma,DONATION,1.0,2021-09-14 12:17:00,DONATION1712,,,POSTED,
TXNCB2D43377C,BB014,B-,RBC,DONATION,1.0,2021-09-14 18:51:00,DONATION1712,,,POSTED,
TXN0E1595C9F4,BB011,O+,Plasma,DONATION,2.0,2021-09-17 09:09:00,DONATION0264,,,POSTED,
TXN547092C783,BB011,O+,RBC,DONATION,2.0,2021-09-17 09:29:00,DONATION0264,,,POSTED,
TXN5AAA562DA8,BB003,B+,RBC,DONATION,2.0,2021-09-17 16:01:00,DONATION0316,,,POSTED,
TXND6EC99C83D,BB003,B+,Plasma,DONATION,2.0,2021-09-17 17:59:00,DONATION0316,,,POSTED,
TXN373160D7B8,BB014,B-,RBC,ISSUE,1.0,2021-09-20 09:30:00,,,,POSTED,ISSUE1B83838CB2
TXN881E901178,BB009,O+,Plasma,DONATION,1.0,2021-09-20 11:20:00,DONATION1462,,,POSTED,
TXNDC06367C13,BB009,O+,Platelets,DONATION,1.0,2021-09-20 12:17:00,DONATION1462,,,POSTED,
TXNF3DC33592C,BB009,O+,RBC,DONATION,1.0,2021-09-20 12:40:00,DONATION1462,,,POSTED,
TXN30F5A884AC,BB011,O+,Plasma,ISSUE,2.0,2021-09-20 14:07:00,,,,POSTED,ISSUE6F166D6761
TXN1527EF9B33,BB006,B+,RBC,DONATION,2.0,2021-09-20 14:55:00,DONATION1514,,,POSTED,
TXNF818129A2B,BB006,B+,Plasma,DONATION,2.0,2021-09-20 15:57:00,DONATION1514,,,POSTED,
TXN2D5DCF9C64,BB003,B+,RBC,ISSUE,6.0,2021-09-25 17:46:00,,,,POSTED,ISSUEC7F10C5619
TXN23719A9B20,BB016,AB-,Plasma,DONATION,1.0,2021-09-28 09:21:00,DONATION0833,,,POSTED,
TXNC1A5A79999,BB017,O+,RBC,DONATION,1.0,2021-09-28 09:59:00,DONATION1228,,,POSTED,
TXN2F785629C0,BB016,AB-,Platelets,DONATION,1.0,2021-09-28 10:10:00,DONATION0833,,,POSTED,
TXN54CD2E8AF4,BB017,O+,Platelets,DONATION,1.0,2021-09-28 14:33:00,DONATION1228,,,POSTED,
TXN935367F24E,BB016,AB-,RBC,DONATION,1.0,2021-09-28 14:37:00,DONATION0833,,,POSTED,
TXN820155F397,BB017,O+,Plasma,DONATION,1.0,2021-09-28 15:35:00,DONATION1228,,,POSTED,
TXN2F6A13F1FF,BB017,O+,Plasma,ISSUE,1.0,2021-09-29 15:17:00,,,,POSTED,ISSUE1F3D5B96BD
TXN5EEA5990B3,BB016,AB-,Platelets,ISSUE,1.0,2021-10-01 13:56:00,,,,POSTED,ISSUE0A83617C88
TXN99B60CFE18,BB016,AB-,Platelets,EXPIRY,1.0,2021-10-03 10:36:00,,,,POSTED,
TXNED0AAFBF4F,BB017,O+,RBC,ISSUE,2.0,2021-10-06 15:00:00,,,,POSTED,ISSUECF3CC01314
TXNFA913DFDE0,BB018,O-,RBC,EXPIRY,1.0,2021-10-11 10:59:00,,,,POSTED,
TXNE2FBEB2205,BB009,O-,RBC,EXPIRY,1.0,2021-10-20 13:35:00,,,,POSTED,
TXNFAD54579F1,BB014,O+,Plasma,DONATION,2.0,2021-10-21 10:50:00,DONATION1613,,,POSTED,
TXN3BFF095D8D,BB014,O+,Platelets,DONATION,2.0,2021-10-21 16:07:00,DONATION1613,,,POSTED,
TXND68A11C0DD,BB014,O+,RBC,DONATION,2.0,2021-10-21 16:11:00,DONATION1613,,,POSTED,
TXN13A56D3EDD,BB014,B-,RBC,EXPIRY,1.0,2021-10-26 17:07:00,,,,POSTED,
TXN0A86D674DA,BB018,AB-,Plasma,DONATION,1.0,2021-10-28 12:18:00,DONATION0073,,,POSTED,
TXN9E610EB7EB,BB018,AB-,RBC,DONATION,1.0,2021-10-28 16:09:00,DONATION0073,,,POSTED,
TXNBDC1FAB504,BB014,O+,Plasma,ISSUE,1.0,2021-10-29 15:11:00,,,,POSTED,ISSUE4E4B2C7011
TXN274DA974AC,BB003,B+,RBC,EXPIRY,1.0,2021-10-29 18:54:00,,,,POSTED,
TXN03360A6C1E,BB017,O+,RBC,EXPIRY,1.0,2021-11-09 13:20:00,,,,POSTED,
TXNF641408C86,BB004,A+,Platelets,DONATION,1.0,2021-11-18 10:12:00,DONATION1404,,,POSTED,
TXNF7796BADB2,BB004,A+,RBC,DONATION,1.0,2021-11-18 15:18:00,DONATION1404,,,POSTED,
TXN7F29372742,BB004,A+,Plasma,DONATION,1.0,2021-11-18 18:11:00,DONATION1404,,,POSTED,
TXN09CBD353D2,BB009,A-,Plasma,DONATION,2.0,2021-11-27 11:50:00,DONATION1243,,,POSTED,
TXNC98113C02C,BB009,A-,RBC,DONATION,2.0,2021-11-27 12:38:00,DONATION1243,,,POSTED,
TXN38CF51E934,BB009,A-,Platelets,DONATION,2.0,2021-11-27 13:12:00,DONATION1243,,,POSTED,
TXN7F92F71F27,BB006,A+,Plasma,DONATION,1.0,2021-12-02 08:02:00,DONATION1764,,,POSTED,
TXN24BE8B3780,BB009,A-,RBC,ISSUE,2.0,2021-12-02 12:11:00,,,,POSTED,ISSUE5FB36804C7
TXN49E8296A48,BB012,O+,RBC,DONATION,1.0,2021-12-02 12:32:00,DONATION0103,,,POSTED,
TXN2C9C88E1F8,BB012,O+,Plasma,DONATION,1.0,2021-12-02 12:42:00,DONATION0103,,,POSTED,
TXN2348C1CA83,BB012,O+,Platelets,DONATION,1.0,2021-12-02 14:44:00,DONATION0103,,,POSTED,
TXN550FCE308F,BB015,A+,RBC,DONATION,2.0,2021-12-02 15:01:00,DONATION0140,,,POSTED,
TXN15C9DEA775,BB006,A+,RBC,DONATION,1.0,2021-12-02 15:29:00,DONATION1764,,,POSTED,
TXNB1362A9E6B,BB015,A+,Plasma,DONATION,2.0,2021-12-02 16:03:00,DONATION0140,,,POSTED,
TXNE12E30C431,BB009,A-,Platelets,EXPIRY,1.0,2021-12-02 18:53:00,,,,POSTED,
TXNFC0893A1DD,BB006,A+,Platelets,DONATION,1.0,2021-12-02 18:55:00,DONATION1764,,,POSTED,
TXN6E09D46202,BB012,O+,RBC,ISSUE,2.0,2021-12-04 09:11:00,,,,POSTED,ISSUE606723940D
TXNB192DB6BD5,BB015,B+,RBC,DONATION,1.0,2021-12-08 13:47:00,DONATION1225,,,POSTED,
TXN792AA43FCB,BB015,B+,Plasma,DONATION,1.0,2021-12-08 17:33:00,DONATION1225,,,POSTED,
TXNB28DA36C7A,BB020,B+,RBC,DONATION,2.0,2021-12-09 10:12:00,DONATION1694,,,POSTED,
TXN9942E366BA,BB020,B+,Plasma,DONATION,2.0,2021-12-09 10:53:00,DONATION1694,,,POSTED,
TXN712E8752C5,BB020,B+,Platelets,DONATION,2.0,2021-12-09 16:31:00,DONATION1694,,,POSTED,
TXNFE1740550E,BB003,B+,Plasma,DONATION,1.0,2021-12-13 13:00:00,DONATION1924,,,POSTED,
TXN165A895F2B,BB003,B+,RBC,DONATION,1.0,2021-12-13 14:03:00,DONATION1924,,,POSTED,
TXN6338090605,BB003,B+,Platelets,DONATION,1.0,2021-12-13 14:26:00,DONATION1924,,,POSTED,
TXNCBF2F6816B,BB020,B+,Platelets,EXPIRY,1.0,2021-12-14 15:57:00,,,,POSTED,
TXN2B78AA7D3A,BB001,B-,RBC,DONATION,1.0,2021-12-15 08:46:00,DONATION0639,,,POSTED,
TXNAFA05D79D0,BB001,B-,Platelets,DONATION,1.0,2021-12-15 12:53:00,DONATION0639,,,POSTED,
TXND90730F9EC,BB001,B-,Plasma,DONATION,1.0,2021-12-15 15:45:00,DONATION0639,,,POSTED,
TXN3FD0764B35,BB001,B-,Platelets,ISSUE,1.0,2021-12-21 18:03:00,,,,POSTED,ISSUE8DF6C07912
TXN8AF2A8C917,BB009,A-,Plasma,DONATION,1.0,2021-12-29 08:48:00,DONATION1978,,,POSTED,
TXNBB8F60C799,BB009,A-,RBC,DONATION,1.0,2021-12-29 13:07:00,DONATION1978,,,POSTED,
TXNC6B7F60B20,BB009,A-,RBC,ISSUE,1.0,2022-01-03 18:29:00,,,,POSTED,ISSUE54935EC610
TXN1DB231B1CF,BB015,A+,RBC,EXPIRY,2.0,2022-01-13 10:03:00,,,,POSTED,
TXND24513DD3F,BB011,O+,Plasma,DONATION,1.0,2022-01-16 13:14:00,DONATION0254,,,POSTED,
TXN6821C9D584,BB011,O+,RBC,DONATION,1.0,2022-01-16 17:51:00,DONATION0254,,,POSTED,
TXNFEBBE6B9A3,BB011,O+,RBC,ISSUE,4.0,2022-01-18 14:45:00,,,,POSTED,ISSUEDCBCE1F509
TXNA7F24316FF,BB020,B+,RBC,EXPIRY,1.0,2022-01-20 15:17:00,,,,POSTED,
TXN288DD60321,BB007,O-,RBC,DONATION,2.0,2022-01-26 16:12:00,DONATION0005,,,POSTED,
TXN5BC1F17007,BB007,O-,Plasma,DONATION,2.0,2022-01-26 18:44:00,DONATION0005,,,POSTED,
TXN83C4A205B0,BB007,O-,Plasma,ISSUE,1.0,2022-01-31 14:25:00,,,,POSTED,ISSUE405B47A5C9
TXN86DFEFCBF1,BB002,B+,Plasma,DONATION,1.0,2022-02-01 14:02:00,DONATION1401,,,POSTED,
TXNBC588CDDC7,BB002,B+,RBC,DONATION,1.0,2022-02-01 14:35:00,DONATION1401,,,POSTED,
TXN8E6C6DFA12,BB007,O-,RBC,ISSUE,1.0,2022-02-02 11:16:00,,,,POSTED,ISSUE994B69F9C5
TXNEC0216D371,BB004,O+,RBC,DONATION,1.0,2022-02-07 10:46:00,DONATION0588,,,POSTED,
TXN04D4A75272,BB004,O+,Plasma,DONATION,1.0,2022-02-07 16:31:00,DONATION0588,,,POSTED,
TXNEA0067369F,BB004,O+,Platelets,DONATION,1.0,2022-02-07 16:41:00,DONATION0588,,,POSTED,
TXN638A3AED96,BB005,B+,RBC,DONATION,1.0,2022-02-09 10:09:00,DONATION0124,,,POSTED,
TXNACAB23D55D,BB005,B+,Plasma,DONATION,1.0,2022-02-09 11:24:00,DONATION0124,,,POSTED,
TXN3EA207473A,BB014,O-,RBC,DONATION,1.0,2022-02-09 11:27:00,DONATION0717,,,POSTED,
TXNDDC3675533,BB014,O-,Plasma,DONATION,1.0,2022-02-09 18:05:00,DONATION0717,,,POSTED,
TXNAC616CFB1D,BB002,B+,Plasma,ISSUE,1.0,2022-02-10 10:18:00,,,,POSTED,ISSUE422723C799
TXNF2F24A2012,BB004,O+,RBC,ISSUE,2.0,2022-02-15 15:48:00,,,,POSTED,ISSUE77142719A6
TXN576B685A7D,BB003,O-,RBC,DONATION,1.0,2022-02-19 10:11:00,DONATION0824,,,POSTED,
TXNA76FBC8E9C,BB003,O-,Plasma,DONATION,1.0,2022-02-19 11:37:00,DONATION0824,,,POSTED,
TXN3E63620992,BB003,O-,Platelets,DONATION,1.0,2022-02-19 13:58:00,DONATION0824,,,POSTED,
TXNEF5FA18642,BB016,O+,RBC,DONATION,1.0,2022-02-20 10:45:00,DONATION0835,,,POSTED,
TXNC227110082,BB016,O+,Plasma,DONATION,1.0,2022-02-20 16:44:00,DONATION0835,,,POSTED,
TXN16F5F404D7,BB003,O-,Plasma,ISSUE,2.0,2022-02-23 11:25:00,,,,POSTED,ISSUECF39325938
TXN05E77E02DA,BB016,O+,RBC,ISSUE,2.0,2022-02-24 08:49:00,,,,POSTED,ISSUEDA337CD736
TXN649992C8A9,BB003,O-,Platelets,EXPIRY,1.0,2022-02-24 15:45:00,,,,POSTED,
TXN291477FD27,BB006,A-,RBC,DONATION,2.0,2022-02-25 10:30:00,DONATION0988,,,POSTED,
TXNBEF1A9A597,BB017,A+,RBC,DONATION,1.0,2022-02-25 12:46:00,DONATION1100,,,POSTED,
TXN14F2245A00,BB006,A-,Plasma,DONATION,2.0,2022-02-25 15:07:00,DONATION0988,,,POSTED,
TXN67004B7069,BB017,A+,Plasma,DONATION,1.0,2022-02-25 18:04:00,DONATION1100,,,POSTED,
TXN3AB4F0DCF9,BB020,B-,Plasma,DONATION,1.0,2022-02-28 15:57:00,DONATION0040,,,POSTED,
TXNF9EB7E7256,BB020,B-,RBC,DONATION,1.0,2022-02-28 18:23:00,DONATION0040,,,POSTED,
TXN1886221851,BB017,A+,Plasma,ISSUE,2.0,2022-03-01 13:29:00,,,,POSTED,ISSUE2384972934
TXNCE0C635A55,BB017,A+,RBC,ISSUE,1.0,2022-03-04 14:01:00,,,,POSTED,ISSUE5FDC143079
TXN2515F3A850,BB019,B-,RBC,DONATION,1.0,2022-03-08 11:33:00,DONATION1248,,,POSTED,
TXN816D1A17FE,BB019,B-,Plasma,DONATION,1.0,2022-03-08 17:51:00,DONATION1248,,,POSTED,
TXNE1229389BD,BB007,O-,RBC,EXPIRY,1.0,2022-03-09 12:55:00,,,,POSTED,
TXN136F46CB09,BB020,B-,RBC,ISSUE,1.0,2022-03-10 12:10:00,,,,POSTED,ISSUE5B1E202BB7
TXN38600B03F7,BB003,O+,Platelets,DONATION,1.0,2022-03-12 10:43:00,DONATION1609,,,POSTED,
TXN36A5F0E892,BB003,O+,Plasma,DONATION,1.0,2022-03-12 12:03:00,DONATION1609,,,POSTED,
TXNE43960EBE0,BB003,O+,RBC,DONATION,1.0,2022-03-12 18:13:00,DONATION1609,,,POSTED,
TXN1D6F24F5B9,BB010,O-,RBC,DONATION,3.0,2022-03-14 09:33:00,DONATION0442,,,POSTED,
TXNB98F04CAFB,BB010,O-,Plasma,DONATION,3.0,2022-03-14 10:19:00,DONATION0442,,,POSTED,
TXN527EDECC17,BB010,O-,Platelets,DONATION,3.0,2022-03-14 13:59:00,DONATION0442,,,POSTED,
TXN74D4B9DDFE,BB011,B+,Platelets,DONATION,1.0,2022-03-16 11:55:00,DONATION0576,,,POSTED,
TXN37440801B5,BB011,B+,RBC,DONATION,1.0,2022-03-16 17:46:00,DONATION0576,,,POSTED,
TXNC2D1EDBD34,BB011,B+,Plasma,DONATION,1.0,2022-03-16 18:35:00,DONATION0576,,,POSTED,
TXNC85A06D0FF,BB003,O+,Platelets,EXPIRY,1.0,2022-03-17 11:41:00,,,,POSTED,
TXN9135CE9D66,BB010,O-,RBC,ISSUE,1.0,2022-03-17 12:49:00,,,,POSTED,ISSUE1D2FEC08E4
TXN9B428EE008,BB019,B-,RBC,ISSUE,2.0,2022-03-18 12:12:00,,,,POSTED,ISSUE6B322D54B9
TXNDEBFA1A0B6,BB010,O-,Platelets,EXPIRY,1.0,2022-03-19 10:13:00,,,,POSTED,
TXN006B4A1A50,BB003,O+,RBC,ISSUE,1.0,2022-03-19 12:34:00,,,,POSTED,ISSUECD7DF5F1E8
TXN6A95E73F65,BB004,O+,RBC,EXPIRY,2.0,2022-03-21 13:58:00,,,,POSTED,
TXNE7DC8AC2B4,BB014,O-,RBC,EXPIRY,1.0,2022-03-23 13:22:00,,,,POSTED,
TXNB7A2D9CB6D,BB009,O+,Plasma,DONATION,2.0,2022-03-28 08:16:00,DONATION0868,,,POSTED,
TXNE7AF7D158A,BB009,O+,RBC,DONATION,2.0,2022-03-28 10:28:00,DONATION0868,,,POSTED,
TXN858190FE43,BB009,O+,Platelets,DONATION,2.0,2022-03-28 12:14:00,DONATION0868,,,POSTED,
