inventory_id,blood_bank_id,blood_group,available_units,reserved_units,last_updated,inventory_status
INV0041,BB008,A-,46,1,2026-07-12 05:41:00,GOOD
INV0042,BB008,AB+,53,0,2026-06-30 08:44:00,GOOD
INV0043,BB008,B+,68,1,2026-07-01 08:50:00,GOOD
INV0044,BB008,B-,36,10,2026-06-29 11:51:00,GOOD
INV0045,BB008,O+,72,1,2026-07-02 01:53:00,GOOD
INV0046,BB009,A+,58,0,2026-07-10 13:34:00,GOOD
INV0047,BB009,A-,12,3,2026-06-24 17:34:00,NORMAL
INV0048,BB009,B+,138,39,2026-07-08 00:14:00,GOOD
INV0049,BB009,O+,25,2,2026-07-05 17:25:00,GOOD
INV0050,BB010,A+,93,21,2026-07-08 07:36:00,GOOD
INV0051,BB010,AB-,10,1,2026-07-09 06:39:00,NORMAL
INV0052,BB010,B+,149,22,2026-06-25 00:17:00,GOOD
INV0053,BB010,B-,44,12,2026-06-24 15:21:00,GOOD
INV0054,BB010,O+,133,12,2026-07-23 15:25:00,GOOD
INV0055,BB010,O-,9,0,2026-07-19 14:15:00,NORMAL
INV0056,BB011,A+,63,15,2026-07-18 08:38:00,GOOD
INV0057,BB011,A-,38,11,2026-07-21 14:53:00,GOOD
INV0058,BB011,AB+,39,10,2026-07-04 11:03:00,GOOD
INV0059,BB011,B-,28,5,2026-07-29 14:58:00,GOOD
INV0060,BB011,O+,83,22,2026-08-02 12:01:00,GOOD
INV0061,BB012,A+,123,16,2026-07-08 17:48:00,GOOD
INV0062,BB012,A-,55,8,2026-07-03 01:43:00,GOOD
INV0063,BB012,AB+,11,0,2026-06-29 00:23:00,NORMAL
INV0064,BB012,AB-,7,0,2026-08-04 02:03:00,NORMAL
INV0065,BB012,B+,145,14,2026-06-28 16:57:00,GOOD
INV0066,BB012,O+,35,6,2026-07-17 01:30:00,GOOD
INV0067,BB012,O-,3,0,2026-08-07 06:01:00,LOW
INV0068,BB013,B+,50,13,2026-06-27 08:30:00,GOOD
INV0069,BB013,B-,44,3,2026-07-20 13:42:00,GOOD
INV0070,BB013,O+,25,1,2026-06-27 05:46:00,GOOD
INV0071,BB014,A+,146,2,2026-07-27 10:04:00,GOOD
INV0072,BB014,A-,56,5,2026-08-05 11:10:00,GOOD
INV0073,BB014,AB+,34,2,2026-07-20 23:00:00,GOOD
INV0074,BB014,B+,86,18,2026-06-30 20:01:00,GOOD
INV0075,BB015,A-,24,4,2026-07-09 03:26:00,GOOD
INV0076,BB015,AB-,16,3,2026-07-30 07:31:00,NORMAL
INV0077,BB015,B+,79,6,2026-07-31 13:50:00,GOOD
INV0078,BB015,B-,49,7,2026-06-27 15:15:00,GOOD
INV0079,BB015,O-,5,0,2026-07-17 14:24:00,LOW
INV0080,BB016,A+,59,5,2026-06-29 03:03:00,GOOD
INV0081,BB016,A-,28,6,2026-07-06 13:55:00,GOOD
INV0082,BB016,AB+,28,1,2026-07-27 19:30:00,GOOD
INV0083,BB016,B+,92,7,2026-08-07 15:36:00,GOOD
INV0084,BB016,O+,70,14,2026-07-21 13:41:00,GOOD
INV0085,BB016,O-,18,5,2026-07-02 23:44:00,NORMAL
INV0086,BB017,A+,102,22,2026-07-23 22:18:00,GOOD
INV0087,BB017,AB+,10,3,2026-07-19 18:35:00,NORMAL
INV0088,BB017,B+,138,19,2026-06-24 20:20:00,GOOD
INV0089,BB017,B-,21,2,2026-06-29 16:46:00,GOOD
INV0090,BB017,O+,44,7,2026-07-29 09:13:00,GOOD
INV0091,BB017,O-,19,2,2026-07-12 01:25:00,NORMAL
INV0092,BB018,A+,130,34,2026-06-26 17:12:00,GOOD
INV0093,BB018,A-,18,5,2026-06-30 21:27:00,NORMAL
INV0094,BB018,AB+,31,8,2026-06-23 12:56:00,GOOD
INV0095,BB018,AB-,18,0,2026-08-04 06:03:00,NORMAL
INV0096,BB018,B+,139,12,2026-07-02 06:51:00,GOOD
INV0097,BB018,O+,52,10,2026-07-05 09:53:00,GOOD
INV0098,BB018,O-,21,1,2026-06-23 05:29:00,GOOD
INV0099,BB019,A+,33,8,2026-07-10 22:31:00,GOOD
INV0100,BB019,AB+,11,3,2026-07-09 05:57:00,NORMAL
INV0101,BB019,B+,128,19,2026-08-06 11:44:00,GOOD
INV0102,BB019,O+,10,1,2026-07-01 21:58:00,NORMAL
INV0103,BB020,A+,118,22,2026-06-24 21:26:00,GOOD
INV0104,BB020,A-,6,0,2026-07-08 22:42:00,NORMAL
INV0105,BB020,AB-,13,1,2026-07-30 03:14:00,NORMAL
INV0106,BB020,B-,44,6,2026-07-15 11:32:00,GOOD
INV0107,BB020,O+,106,24,2026-08-02 02:18:00,GOOD
