blood_bank_id,blood_group,component_type,available_units,expiry_status,last_transaction_at
BB005,A-,Plasma,4,VALID,2025-12-03 11:10:00
BB005,A-,Platelets,0,EXPIRED,2025-12-04 17:00:00
BB015,O-,RBC,5,VALID,2026-07-15 12:06:00
BB015,O-,Plasma,4,VALID,2026-07-15 11:33:00
BB015,O-,Platelets,3,EXPIRED,2026-04-08 08:49:00
BB018,AB+,RBC,4,VALID,2026-07-11 12:22:00
BB018,AB+,Plasma,4,VALID,2026-07-16 08:58:00
BB018,AB+,Platelets,3,EXPIRED,2025-06-25 16:49:00
BB011,A+,RBC,14,EXPIRED,2026-08-13 08:36:00
BB011,A+,Plasma,5,VALID,2026-06-10 09:25:00
BB018,O+,RBC,18,VALID,2026-07-30 17:08:00
BB018,O+,Plasma,12,VALID,2026-07-30 15:16:00
BB010,O-,RBC,6,EXPIRED,2026-03-27 15:14:00
BB010,O-,Plasma,7,VALID,2026-03-27 08:33:00
BB020,B-,RBC,2,EXPIRED,2026-05-18 18:17:00
BB020,B-,Plasma,4,VALID,2026-05-12 14:46:00
BB020,A+,RBC,4,EXPIRED,2026-07-30 16:58:00
BB020,A+,Plasma,11,VALID,2026-05-21 12:24:00
BB020,A+,Platelets,6,EXPIRED,2026-05-12 14:40:00
BB011,A-,RBC,6,EXPIRED,2026-05-04 15:54:00
BB011,A-,Plasma,8,VALID,2026-05-04 16:50:00
BB011,A-,Platelets,5,EXPIRED,2026-02-09 16:15:00
BB018,B+,RBC,9,EXPIRED,2026-03-08 08:44:00
BB018,B+,Plasma,7,VALID,2026-03-08 13:13:00
BB016,A+,RBC,7,EXPIRED,2026-08-12 09:05:00
BB016,A+,Plasma,7,VALID,2026-06-15 18:07:00
BB014,A+,Platelets,8,EXPIRED,2026-05-10 09:03:00
BB004,B+,RBC,6,VALID,2026-07-30 10:49:00
BB004,B+,Plasma,9,VALID,2026-07-30 16:56:00
BB004,B+,Platelets,8,EXPIRED,2026-06-10 14:16:00
BB007,A+,RBC,11,EXPIRED,2026-08-12 17:59:00
BB007,A+,Plasma,13,VALID,2026-07-15 11:17:00
BB003,AB+,RBC,1,EXPIRED,2026-06-10 16:57:00
BB003,AB+,Plasma,1,VALID,2026-06-12 10:26:00
BB003,AB+,Platelets,3,EXPIRED,2026-08-17 10:00:00
BB006,A+,RBC,3,EXPIRED,2026-08-02 13:48:00
BB006,A+,Plasma,10,VALID,2026-06-07 18:33:00
BB018,A+,RBC,7,VALID,2026-08-13 12:11:00
BB018,A+,Plasma,10,VALID,2026-07-27 14:36:00
BB001,O-,RBC,5,EXPIRED,2026-03-29 15:57:00
BB001,O-,Plasma,4,VALID,2026-03-31 10:49:00
BB001,O-,Platelets,4,EXPIRED,2026-03-29 10:48:00
BB019,B+,RBC,7,EXPIRED,2025-11-16 09:30:00
BB019,B+,Plasma,8,VALID,2025-11-22 10:43:00
BB019,B+,Platelets,5,EXPIRED,2025-11-16 14:16:00
BB009,A+,RBC,5,VALID,2026-08-11 11:29:00
BB009,A+,Plasma,7,VALID,2026-08-02 16:18:00
BB009,A+,Platelets,17,EXPIRED,2026-08-01 10:31:00
BB010,AB-,RBC,1,EXPIRED,2025-03-29 18:19:00
BB010,AB-,Plasma,0,EXPIRED,2025-04-07 11:23:00
BB010,A+,RBC,7,VALID,2026-08-12 08:18:00
BB010,A+,Plasma,7,VALID,2026-07-25 12:16:00
BB016,O-,RBC,7,EXPIRED,2025-12-12 12:32:00
BB016,O-,Plasma,8,VALID,2025-12-10 08:39:00
BB016,O-,Platelets,6,EXPIRED,2024-07-14 15:19:00
BB008,O-,RBC,9,EXPIRED,2026-01-26 16:07:00
BB008,O-,Plasma,6,VALID,2026-01-26 18:24:00
BB008,O-,Platelets,2,EXPIRED,2025-10-26 09:47:00
BB018,AB-,RBC,1,EXPIRED,2024-07-30 15:46:00
BB018,AB-,Plasma,1,EXPIRED,2024-07-28 17:51:00
BB014,B-,RBC,8,EXPIRED,2026-04-26 16:50:00
BB014,B-,Plasma,7,VALID,2026-04-30 18:16:00
BB020,A-,RBC,2,EXPIRED,2026-01-13 13:21:00
BB020,A-,Plasma,4,VALID,2026-01-07 14:35:00
BB020,A-,Platelets,0,EXPIRED,2026-01-13 09:36:00
BB005,O+,RBC,12,EXPIRED,2026-06-11 17:32:00
BB005,O+,Plasma,12,VALID,2026-06-11 09:24:00
BB005,O+,Platelets,7,EXPIRED,2026-03-29 15:57:00
BB016,A+,Platelets,2,EXPIRED,2026-06-11 10:47:00
BB015,B-,RBC,4,VALID,2026-07-23 14:33:00
BB015,B-,Plasma,4,VALID,2026-07-23 10:46:00
BB009,B+,RBC,11,VALID,2026-07-26 14:41:00
BB009,B+,Plasma,7,VALID,2026-07-17 12:14:00
BB009,B+,Platelets,11,EXPIRED,2026-07-17 13:01:00
BB004,O+,RBC,6,VALID,2026-07-21 13:03:00
BB004,O+,Plasma,12,VALID,2026-07-21 12:18:00
BB004,O+,Platelets,10,EXPIRED,2026-06-27 15:46:00
BB001,O+,RBC,13,VALID,2026-08-09 10:58:00
BB001,O+,Plasma,20,VALID,2026-08-03 18:51:00
BB003,O+,RBC,9,VALID,2026-07-30 10:04:00
BB003,O+,Plasma,7,VALID,2026-07-30 13:11:00
BB013,AB+,RBC,13,EXPIRED,2025-12-15 09:56:00
BB013,AB+,Plasma,10,VALID,2025-12-20 15:12:00
BB003,O+,Platelets,6,EXPIRED,2026-06-05 08:22:00
BB001,A+,RBC,8,VALID,2026-08-11 09:16:00
BB001,A+,Plasma,13,VALID,2026-08-13 16:02:00
BB012,O+,RBC,10,VALID,2026-07-15 11:36:00
BB012,O+,Plasma,9,VALID,2026-07-17 14:00:00
BB012,O+,Platelets,14,EXPIRED,2026-06-15 14:45:00
BB019,O-,RBC,1,VALID,2026-07-19 16:10:00
BB019,O-,Plasma,4,VALID,2026-07-19 13:45:00
BB019,O-,Platelets,3,EXPIRED,2026-08-17 13:42:00
BB017,A-,RBC,2,VALID,2026-08-02 10:28:00
BB017,A-,Plasma,2,VALID,2026-07-26 16:44:00
BB017,A-,Platelets,2,EXPIRED,2026-07-26 08:43:00
BB005,AB+,Platelets,3,EXPIRED,2026-04-17 10:48:00
BB015,B+,RBC,12,EXPIRED,2026-07-04 08:21:00
BB015,B+,Plasma,6,VALID,2026-07-02 08:25:00
BB017,B+,RBC,16,VALID,2026-08-01 12:16:00
BB017,B+,Plasma,6,VALID,2026-07-29 12:46:00
BB009,O+,RBC,7,EXPIRED,2026-06-28 13:31:00
BB009,O+,Plasma,6,VALID,2026-07-05 15:38:00
BB009,O+,Platelets,6,EXPIRED,2026-06-29 12:16:00
BB019,A+,Platelets,5,EXPIRED,2026-07-12 18:18:00
BB017,A+,RBC,3,VALID,2026-08-12 08:58:00
BB017,A+,Plasma,4,VALID,2026-08-08 09:41:00
BB015,B-,Platelets,2,EXPIRED,2025-08-19 09:45:00
BB015,B+,Platelets,6,EXPIRED,2026-07-02 09:54:00
BB005,B+,RBC,11,EXPIRED,2026-06-08 09:19:00
BB005,B+,Plasma,9,VALID,2026-06-07 08:35:00
BB001,B+,Platelets,7,EXPIRED,2026-03-15 11:15:00
BB005,O-,RBC,8,EXPIRED,2025-12-11 15:22:00
BB005,O-,Plasma,5,VALID,2025-12-09 10:38:00
BB014,O-,RBC,13,EXPIRED,2026-06-28 18:48:00
BB014,O-,Plasma,9,VALID,2026-06-30 08:01:00
BB012,A+,RBC,7,VALID,2026-08-11 11:45:00
BB012,A+,Plasma,10,VALID,2026-07-29 15:44:00
BB012,A+,Platelets,13,EXPIRED,2026-07-19 14:01:00
BB003,B-,RBC,7,EXPIRED,2026-03-27 10:42:00
BB003,B-,Plasma,7,VALID,2026-03-26 17:38:00
BB011,B+,RBC,8,EXPIRED,2026-03-01 09:30:00
BB011,B+,Plasma,11,VALID,2026-02-26 14:29:00
BB011,B+,Platelets,6,EXPIRED,2025-11-23 15:32:00
BB018,A+,Platelets,12,EXPIRED,2026-08-02 11:22:00
BB019,B-,RBC,7,EXPIRED,2025-10-12 13:32:00
BB019,B-,Plasma,7,VALID,2025-10-16 13:11:00
BB013,A+,Platelets,14,EXPIRED,2026-08-07 11:25:00
BB001,AB+,RBC,4,EXPIRED,2026-05-29 10:50:00
BB001,AB+,Plasma,6,VALID,2026-05-27 09:49:00
BB001,O+,Platelets,14,EXPIRED,2026-07-16 15:09:00
BB002,B+,RBC,6,EXPIRED,2025-10-25 18:50:00
BB002,B+,Plasma,3,VALID,2025-11-04 16:51:00
BB002,B+,Platelets,5,EXPIRED,2025-04-30 18:28:00
BB011,O-,RBC,9,EXPIRED,2026-05-12 12:47:00
BB011,O-,Plasma,9,VALID,2026-08-16 17:59:00
BB011,O-,Platelets,5,EXPIRED,2026-05-12 12:39:00
BB004,A+,RBC,23,VALID,2026-08-11 10:14:00
BB004,A+,Plasma,12,VALID,2026-07-19 11:47:00
BB008,A-,RBC,1,EXPIRED,2025-09-21 16:23:00
BB008,A-,Plasma,3,VALID,2025-09-21 09:56:00
BB008,A-,Platelets,0,EXPIRED,2025-08-06 10:53:00
BB002,A-,RBC,4,EXPIRED,2026-05-10 15:46:00
BB002,A-,Plasma,3,VALID,2026-05-03 13:24:00
BB003,B+,RBC,16,VALID,2026-07-23 16:57:00
BB003,B+,Plasma,11,VALID,2026-07-23 18:52:00
BB003,B+,Platelets,10,EXPIRED,2026-08-02 09:53:00
BB014,B+,RBC,6,EXPIRED,2026-06-21 10:02:00
BB014,B+,Plasma,15,VALID,2026-06-17 11:09:00
BB006,O+,Platelets,4,EXPIRED,2026-07-25 16:38:00
BB003,O-,RBC,10,VALID,2026-07-10 18:37:00
BB003,O-,Plasma,5,VALID,2026-07-10 13:30:00
BB020,AB-,RBC,2,EXPIRED,2026-01-07 18:25:00
BB020,AB-,Plasma,2,VALID,2026-01-07 12:00:00
BB020,AB-,Platelets,0,EXPIRED,2023-09-18 10:57:00
BB010,B-,RBC,10,EXPIRED,2026-04-11 18:25:00
BB010,B-,Plasma,6,VALID,2026-04-20 15:32:00
BB010,O-,Platelets,6,EXPIRED,2026-03-27 17:20:00
BB018,B-,RBC,5,EXPIRED,2025-11-19 12:02:00
BB018,B-,Plasma,5,VALID,2025-11-23 17:47:00
BB018,B-,Platelets,5,EXPIRED,2026-08-17 08:18:00
BB015,O+,RBC,9,VALID,2026-07-30 16:58:00
BB015,O+,Plasma,10,VALID,2026-08-02 11:15:00
BB015,O+,Platelets,11,EXPIRED,2026-06-30 12:49:00
BB016,O+,RBC,4,VALID,2026-07-24 12:53:00
BB016,O+,Plasma,9,VALID,2026-07-20 14:44:00
BB016,O+,Platelets,13,EXPIRED,2026-07-20 09:14:00
BB002,B-,RBC,5,VALID,2026-08-04 13:29:00
BB002,B-,Plasma,8,VALID,2026-08-04 14:59:00
BB010,O+,RBC,12,VALID,2026-08-13 08:27:00
BB010,O+,Plasma,3,VALID,2026-08-07 10:35:00
BB010,O+,Platelets,9,EXPIRED,2026-08-07 17:48:00
BB017,A+,Platelets,9,EXPIRED,2026-07-31 12:28:00
BB007,A+,Platelets,7,EXPIRED,2026-06-07 16:51:00
BB007,AB+,RBC,3,EXPIRED,2026-04-22 14:18:00
BB007,AB+,Plasma,3,VALID,2026-04-17 12:26:00
BB007,AB+,Platelets,2,EXPIRED,2025-02-15 09:38:00
BB001,B-,RBC,5,EXPIRED,2026-06-17 14:23:00
BB001,B-,Plasma,6,VALID,2026-06-17 09:09:00
BB001,B-,Platelets,2,EXPIRED,2026-06-17 17:16:00
BB010,B-,Platelets,3,EXPIRED,2025-12-02 14:46:00
BB020,B+,RBC,10,EXPIRED,2026-06-20 08:20:00
BB020,B+,Plasma,13,VALID,2026-06-20 12:32:00
BB016,AB+,RBC,3,EXPIRED,2026-02-21 12:10:00
BB016,AB+,Plasma,1,VALID,2026-03-02 12:06:00
BB016,AB+,Platelets,0,EXPIRED,2026-08-14 14:26:00
BB018,AB-,Platelets,3,EXPIRED,2026-08-12 10:45:00
BB006,B-,RBC,2,EXPIRED,2026-08-15 11:47:00
BB006,B-,Plasma,6,EXPIRED,2024-02-07 14:52:00
BB007,B+,RBC,11,VALID,2026-08-09 14:50:00
BB007,B+,Plasma,8,VALID,2026-08-05 12:47:00
BB007,B+,Platelets,10,EXPIRED,2026-08-01 11:36:00
BB004,A+,Platelets,4,EXPIRED,2026-07-09 11:33:00
BB010,AB+,RBC,3,EXPIRED,2026-01-25 11:33:00
BB010,AB+,Plasma,2,VALID,2026-08-15 11:56:00
BB017,AB+,RBC,7,VALID,2026-07-28 14:37:00
BB017,AB+,Plasma,4,VALID,2026-07-19 15:00:00
BB005,B-,RBC,5,VALID,2026-08-04 17:44:00
BB005,B-,Plasma,4,VALID,2026-08-09 17:04:00
BB005,B-,Platelets,3,EXPIRED,2026-08-04 13:54:00
BB017,B-,RBC,5,EXPIRED,2026-07-05 14:46:00
BB017,B-,Plasma,3,VALID,2026-07-11 09:29:00
BB017,B-,Platelets,2,EXPIRED,2026-06-22 18:38:00
BB012,B-,RBC,3,EXPIRED,2026-02-11 17:20:00
BB012,B-,Plasma,8,VALID,2026-02-01 13:13:00
BB012,B-,Platelets,3,EXPIRED,2026-02-01 18:54:00
BB002,B-,Platelets,0,EXPIRED,2026-04-25 17:15:00
BB013,A-,RBC,3,EXPIRED,2026-02-24 16:15:00
BB013,A-,Plasma,2,VALID,2026-06-16 14:29:00
BB013,A-,Platelets,2,EXPIRED,2025-06-18 17:09:00
BB006,A-,RBC,3,EXPIRED,2026-05-09 14:44:00
BB006,A-,Plasma,3,VALID,2026-05-09 15:51:00
BB020,B+,Platelets,8,EXPIRED,2026-06-20 16:30:00
BB004,O-,RBC,5,VALID,2026-07-14 17:16:00
BB004,O-,Plasma,4,VALID,2026-07-14 18:48:00
BB017,B+,Platelets,10,EXPIRED,2026-06-02 18:41:00
BB007,B-,RBC,0,EXPIRED,2025-12-04 15:51:00
BB007,B-,Plasma,2,VALID,2025-12-04 12:47:00
BB006,AB+,RBC,3,EXPIRED,2026-05-20 15:24:00
BB006,AB+,Plasma,6,VALID,2026-05-12 13:03:00
BB006,AB+,Platelets,3,EXPIRED,2026-05-21 08:50:00
BB008,B-,RBC,6,EXPIRED,2025-10-21 13:31:00
BB008,B-,Plasma,4,VALID,2025-10-30 14:12:00
BB014,AB+,RBC,4,EXPIRED,2025-12-17 16:57:00
BB014,AB+,Plasma,3,VALID,2025-12-21 09:21:00
BB018,B+,Platelets,2,EXPIRED,2026-03-08 11:54:00
BB011,AB+,RBC,2,EXPIRED,2026-04-20 17:52:00
BB011,AB+,Plasma,2,VALID,2026-06-11 16:43:00
BB011,A+,Platelets,8,EXPIRED,2026-05-17 12:40:00
BB003,A-,RBC,5,EXPIRED,2026-05-12 12:00:00
BB003,A-,Plasma,4,VALID,2026-05-19 08:01:00
BB003,A-,Platelets,2,EXPIRED,2025-10-18 11:39:00
BB010,A-,RBC,3,EXPIRED,2026-05-14 17:14:00
BB010,A-,Plasma,6,VALID,2026-05-14 11:08:00
BB018,O+,Platelets,13,EXPIRED,2026-07-30 11:35:00
BB019,A-,RBC,4,EXPIRED,2026-04-15 08:02:00
BB019,A-,Plasma,6,VALID,2026-04-12 08:36:00
BB019,A-,Platelets,4,EXPIRED,2026-04-17 17:24:00
BB008,AB+,RBC,8,EXPIRED,2025-04-19 15:46:00
BB008,AB+,Plasma,7,EXPIRED,2025-04-17 16:51:00
BB008,AB+,Platelets,2,EXPIRED,2024-04-08 15:48:00
BB020,AB+,RBC,3,VALID,2026-07-26 15:36:00
BB020,AB+,Plasma,5,VALID,2026-07-29 15:20:00
BB016,A-,Platelets,3,EXPIRED,2025-09-15 15:41:00
BB012,A-,RBC,7,EXPIRED,2025-10-07 10:02:00
BB012,A-,Plasma,5,VALID,2025-10-11 11:59:00
BB017,O+,RBC,5,VALID,2026-08-11 17:45:00
BB017,O+,Plasma,8,VALID,2026-08-06 16:51:00
BB006,O-,RBC,3,EXPIRED,2026-02-26 13:22:00
BB006,O-,Plasma,5,VALID,2026-02-26 15:39:00
BB001,A+,Platelets,7,EXPIRED,2026-07-17 17:12:00
BB010,B+,RBC,7,VALID,2026-07-27 15:16:00
BB010,B+,Plasma,5,VALID,2026-07-27 12:36:00
BB010,B+,Platelets,5,EXPIRED,2026-07-31 10:53:00
BB011,AB-,RBC,0,EXPIRED,2025-11-21 14:35:00
BB011,AB-,Plasma,0,VALID,2025-11-20 18:59:00
BB010,A+,Platelets,3,EXPIRED,2026-07-25 12:12:00
BB017,O+,Platelets,5,EXPIRED,2026-08-10 15:01:00
BB013,O-,RBC,3,EXPIRED,2025-04-04 16:04:00
BB013,O-,Plasma,5,EXPIRED,2026-08-14 14:06:00
BB013,O+,Platelets,4,EXPIRED,2026-03-20 16:00:00
BB008,B+,RBC,10,EXPIRED,2026-06-16 16:59:00
BB008,B+,Plasma,14,VALID,2026-06-16 09:45:00
BB012,O-,RBC,4,EXPIRED,2025-12-04 08:46:00
BB012,O-,Plasma,5,VALID,2025-12-02 08:04:00
BB007,A-,RBC,6,EXPIRED,2026-08-13 09:54:00
BB007,A-,Plasma,6,EXPIRED,2025-06-28 17:49:00
BB007,A-,Platelets,3,EXPIRED,2024-06-19 11:13:00
BB004,AB+,RBC,2,EXPIRED,2025-12-15 10:08:00
BB004,AB+,Plasma,2,VALID,2026-03-19 09:50:00
BB015,A-,RBC,9,EXPIRED,2026-03-11 14:47:00
BB015,A-,Plasma,9,VALID,2026-03-19 16:35:00
BB015,A-,Platelets,4,EXPIRED,2026-01-07 18:38:00
BB006,A+,Platelets,11,EXPIRED,2026-06-06 10:59:00
BB012,O-,Platelets,3,EXPIRED,2025-12-02 12:49:00
BB016,B+,RBC,13,EXPIRED,2025-09-25 13:35:00
BB016,B+,Plasma,10,VALID,2025-09-25 09:38:00
BB009,A-,Platelets,5,EXPIRED,2025-11-21 18:02:00
BB016,B+,Platelets,5,EXPIRED,2025-05-21 12:28:00
BB008,B+,Platelets,9,EXPIRED,2025-08-08 17:48:00
BB019,AB+,RBC,5,EXPIRED,2026-06-09 09:29:00
BB019,AB+,Plasma,4,VALID,2026-06-09 18:46:00
BB019,AB+,Platelets,3,EXPIRED,2025-10-29 08:14:00
BB006,B+,RBC,8,VALID,2026-08-13 17:03:00
BB006,B+,Plasma,11,VALID,2026-08-03 09:09:00
BB017,O-,RBC,3,EXPIRED,2024-06-11 13:55:00
BB017,O-,Plasma,1,EXPIRED,2024-06-17 14:50:00
BB006,B-,Platelets,2,EXPIRED,2024-02-10 14:56:00
BB009,AB+,RBC,7,VALID,2026-07-17 09:05:00
BB009,AB+,Plasma,8,VALID,2026-07-15 16:55:00
BB009,AB+,Platelets,5,EXPIRED,2026-07-15 08:32:00
BB012,AB+,Platelets,1,EXPIRED,2026-02-21 09:41:00
BB016,B-,RBC,5,EXPIRED,2026-03-01 10:23:00
BB016,B-,Plasma,8,VALID,2026-02-20 09:00:00
BB016,B-,Platelets,4,EXPIRED,2026-02-20 13:44:00
BB002,A-,Platelets,1,EXPIRED,2025-10-29 08:34:00
BB010,A-,Platelets,2,EXPIRED,2026-05-22 11:15:00
BB013,B-,RBC,2,VALID,2026-07-21 16:24:00
BB013,B-,Plasma,4,VALID,2026-07-18 16:07:00
BB013,B-,Platelets,1,EXPIRED,2026-07-18 14:17:00
BB015,AB+,RBC,1,EXPIRED,2026-02-01 18:12:00
BB015,AB+,Plasma,3,VALID,2026-01-31 09:43:00
BB015,AB+,Platelets,0,EXPIRED,2026-02-05 17:14:00
BB010,AB+,Platelets,1,EXPIRED,2026-01-13 14:28:00
BB009,B-,RBC,6,VALID,2026-07-15 13:09:00
BB009,B-,Plasma,7,VALID,2026-07-15 08:05:00
BB009,B-,Platelets,3,EXPIRED,2026-07-15 18:30:00
BB014,O-,Platelets,8,EXPIRED,2026-08-12 12:56:00
BB005,O-,Platelets,5,EXPIRED,2024-03-15 17:07:00
BB007,AB-,RBC,1,EXPIRED,2023-05-04 18:54:00
BB007,AB-,Plasma,1,EXPIRED,2023-05-04 18:48:00
BB007,AB-,Platelets,0,EXPIRED,2023-05-09 18:43:00
BB005,B+,Platelets,4,EXPIRED,2025-08-23 13:36:00
BB001,A-,RBC,6,EXPIRED,2025-12-13 17:30:00
BB001,A-,Plasma,6,VALID,2025-12-15 15:27:00
BB020,B-,Platelets,1,EXPIRED,2026-05-08 12:11:00
BB009,O-,RBC,3,VALID,2026-07-20 16:18:00
BB009,O-,Plasma,4,VALID,2026-07-28 12:26:00
BB012,B+,RBC,6,EXPIRED,2026-02-09 13:53:00
BB012,B+,Plasma,7,VALID,2026-02-03 08:51:00
BB012,B+,Platelets,0,EXPIRED,2026-08-13 17:29:00
BB018,O-,RBC,7,VALID,2026-07-25 11:59:00
BB018,O-,Plasma,8,VALID,2026-07-25 09:02:00
BB004,O-,Platelets,0,EXPIRED,2022-08-05 11:19:00
BB003,B-,Platelets,5,EXPIRED,2026-03-26 16:32:00
BB006,O-,Platelets,2,EXPIRED,2026-03-06 15:57:00
BB003,O-,Platelets,1,EXPIRED,2025-08-26 13:00:00
BB007,O+,Platelets,12,EXPIRED,2026-06-04 10:18:00
BB019,AB-,RBC,2,EXPIRED,2025-09-06 17:23:00
BB019,AB-,Plasma,3,VALID,2025-09-04 09:59:00
BB013,AB+,Platelets,5,EXPIRED,2025-12-19 09:42:00
BB004,B-,RBC,4,EXPIRED,2026-07-03 14:08:00
BB004,B-,Plasma,7,VALID,2026-07-01 11:08:00
BB016,AB-,RBC,4,EXPIRED,2025-10-07 15:44:00
BB016,AB-,Plasma,4,VALID,2025-10-14 13:26:00
BB016,AB-,Platelets,0,EXPIRED,2025-06-19 08:03:00
BB014,B-,Platelets,5,EXPIRED,2026-04-18 16:11:00
BB006,B+,Platelets,0,EXPIRED,2026-08-09 10:54:00
BB004,B-,Platelets,2,EXPIRED,2026-07-01 09:43:00
BB006,AB-,RBC,1,EXPIRED,2025-07-10 09:59:00
BB006,AB-,Plasma,0,EXPIRED,2025-07-17 13:14:00
BB014,B+,Platelets,7,EXPIRED,2026-06-17 13:38:00
BB018,O-,Platelets,2,EXPIRED,2025-11-22 10:51:00
BB006,A-,Platelets,0,EXPIRED,2026-05-14 15:16:00
BB012,A-,Platelets,5,EXPIRED,2025-10-07 08:49:00
BB018,A-,Platelets,0,EXPIRED,2025-08-21 10:30:00
BB011,B-,RBC,8,EXPIRED,2026-06-23 09:53:00
BB011,B-,Plasma,5,VALID,2026-06-23 10:03:00
BB011,B-,Platelets,6,EXPIRED,2026-06-23 14:04:00
BB013,O-,Platelets,1,EXPIRED,2024-04-05 13:28:00
BB017,O-,Platelets,0,EXPIRED,2023-06-23 11:24:00
BB004,A-,Platelets,1,EXPIRED,2025-07-06 09:56:00
BB001,AB-,RBC,1,EXPIRED,2024-12-16 10:39:00
BB001,AB-,Plasma,2,EXPIRED,2024-11-04 18:09:00
BB001,AB-,Platelets,0,EXPIRED,2024-11-09 13:25:00
BB020,AB+,Platelets,4,EXPIRED,2026-07-26 13:50:00
BB013,AB-,RBC,0,EXPIRED,2023-11-10 08:14:00
BB013,AB-,Plasma,0,EXPIRED,2023-10-05 13:55:00
