issue_id,blood_bank_id,blood_group,component_type,units,issue_date,hospital_id
ISSUE8FFE4BCF74,BB002,A+,Plasma,2,2025-09-18,HOSP005
ISSUE9485CD3094,BB002,A+,Plasma,1,2025-11-02,HOSP005
ISSUE5D0BF256A1,BB002,A+,Plasma,2,2025-05-02,HOSP004
ISSUE652BC8A411,BB002,A+,Plasma,3,2026-05-13,HOSP009
ISSUE6B616553B6,BB002,A+,Plasma,2,2023-12-06,HOSP004
ISSUE7DE9DF7DFE,BB002,A+,Plasma,2,2023-02-07,HOSP004
ISSUE03F9187799,BB002,A+,Plasma,1,2025-01-23,HOSP003
ISSUEA868963167,BB002,A+,Plasma,2,2023-12-30,HOSP009
ISSUE518A242587,BB002,A+,Platelets,4,2023-02-19,HOSP011
ISSUE0E75E98C06,BB002,A+,Platelets,3,2025-03-11,HOSP008
ISSUE22048E0E78,BB002,A+,Platelets,3,2025-09-20,HOSP010
ISSUE172AB7E609,BB002,A+,Platelets,2,2025-11-02,HOSP004
ISSUE194F52FFF0,BB002,A+,Platelets,2,2024-03-28,HOSP006
ISSUEB128E9629F,BB002,A+,Platelets,1,2026-05-09,HOSP009
ISSUE994B69F9C5,BB007,O-,RBC,1,2022-02-02,HOSP008
ISSUE700C31188B,BB007,O-,RBC,1,2024-03-05,HOSP011
ISSUEC72EE48897,BB007,O-,RBC,1,2026-01-15,HOSP002
ISSUECA69300046,BB007,O-,RBC,1,2025-07-03,HOSP012
ISSUEC079BC5DF6,BB007,O-,RBC,2,2022-10-25,HOSP012
ISSUE405B47A5C9,BB007,O-,Plasma,1,2022-01-31,HOSP006
ISSUEFF9828A070,BB007,O-,Plasma,2,2024-03-05,HOSP003
ISSUEDF92998B63,BB007,O-,Plasma,1,2026-01-15,HOSP009
ISSUE3E862FA28E,BB020,O+,RBC,4,2024-03-11,HOSP004
ISSUE69893CEA41,BB020,O+,RBC,5,2025-08-21,HOSP003
ISSUE058C206D6C,BB020,O+,RBC,3,2025-10-13,HOSP007
ISSUE03323E4C01,BB020,O+,RBC,1,2026-05-30,HOSP001
ISSUE6AA7AECBAB,BB020,O+,RBC,2,2024-07-07,HOSP002
ISSUEA7174A3FA0,BB020,O+,RBC,2,2023-04-15,HOSP009
ISSUE48B791674E,BB020,O+,RBC,1,2026-08-07,HOSP007
ISSUE05E3D85945,BB020,O+,RBC,1,2025-10-16,HOSP001
ISSUEEF805F63E6,BB020,O+,Plasma,7,2024-03-15,HOSP007
ISSUE2268BBB978,BB020,O+,Plasma,4,2025-02-28,HOSP002
ISSUEF0EA548045,BB020,O+,Plasma,3,2021-07-29,HOSP012
ISSUEEA682DBBE9,BB020,O+,Plasma,5,2025-08-28,HOSP010
ISSUE56129F8281,BB020,O+,Plasma,2,2024-12-28,HOSP007
ISSUEE4C3013FC3,BB020,O+,Plasma,3,2023-11-28,HOSP008
ISSUE9CB84D90AE,BB020,O+,Plasma,1,2026-02-22,HOSP012
ISSUE0CB015F126,BB020,O+,Plasma,1,2023-06-05,HOSP010
ISSUE6EF9D44917,BB020,O+,Plasma,1,2026-07-25,HOSP003
ISSUE46CED4FE8D,BB020,O+,Plasma,2,2026-06-03,HOSP012
ISSUE902F82CAA7,BB020,O+,Plasma,1,2026-08-05,HOSP006
ISSUE489D1D82FD,BB020,O+,Plasma,1,2025-10-11,HOSP008
ISSUE4CCB54C595,BB013,B+,RBC,4,2026-05-17,HOSP007
ISSUED632B46CB6,BB013,B+,RBC,2,2025-10-05,HOSP012
ISSUE57625BA790,BB013,B+,RBC,3,2022-10-07,HOSP008
ISSUED794B3716C,BB013,B+,RBC,2,2025-02-02,HOSP003
ISSUE960353E7B2,BB013,B+,RBC,2,2024-10-21,HOSP003
ISSUEA1D9BF1D3A,BB013,B+,RBC,2,2024-08-24,HOSP009
ISSUE5267D8DF46,BB013,B+,Plasma,3,2026-04-25,HOSP001
ISSUE23A1B78F49,BB013,B+,Plasma,2,2025-05-18,HOSP004
ISSUEBC1A83A208,BB013,B+,Plasma,3,2025-02-02,HOSP006
ISSUEEBC366622D,BB013,B+,Plasma,2,2026-06-26,HOSP011
ISSUE9AB78B8719,BB013,B+,Plasma,2,2024-10-27,HOSP006
ISSUE0D327FCBAA,BB013,B+,Platelets,1,2025-05-16,HOSP003
ISSUE164419496F,BB013,B+,Platelets,1,2025-11-28,HOSP002
ISSUEAD2A609F30,BB013,B+,Platelets,1,2026-07-04,HOSP002
ISSUEB9FD6A74B2,BB013,B+,Platelets,1,2024-09-02,HOSP002
ISSUECC10E4E03D,BB015,A+,RBC,5,2023-02-11,HOSP011
ISSUE2EF126223E,BB015,A+,RBC,5,2023-12-08,HOSP012
ISSUE922A0CA9FA,BB015,A+,RBC,4,2026-03-10,HOSP010
ISSUEC29A75426A,BB015,A+,RBC,4,2024-11-20,HOSP002
ISSUEBDEDC376AE,BB015,A+,RBC,3,2025-04-26,HOSP004
ISSUEC6DDD9466F,BB015,A+,RBC,2,2026-06-06,HOSP012
ISSUEE25702FB78,BB015,A+,RBC,2,2022-05-26,HOSP001
ISSUEEAD7CB48FC,BB015,A+,RBC,1,2022-08-20,HOSP012
ISSUE32ABCC411B,BB015,A+,RBC,1,2026-03-15,HOSP011
ISSUEA735F6939D,BB015,A+,Plasma,6,2023-02-17,HOSP002
ISSUEA946F649AC,BB015,A+,Plasma,6,2026-03-31,HOSP003
ISSUE42F3C1F963,BB015,A+,Plasma,3,2022-06-08,HOSP008
ISSUEEB9DF70AFB,BB015,A+,Plasma,3,2026-06-17,HOSP005
ISSUEE05FD753A8,BB015,A+,Plasma,1,2025-05-12,HOSP006
ISSUEADE1039B78,BB015,A+,Plasma,2,2026-03-14,HOSP010
ISSUEF027B37F7A,BB015,A+,Plasma,1,2022-11-09,HOSP007
ISSUE08C3AECAB2,BB015,A+,Plasma,2,2025-04-25,HOSP003
ISSUE716EA868B6,BB015,A+,Plasma,2,2026-06-12,HOSP008
ISSUEB2A7C94680,BB015,A+,Plasma,1,2024-08-14,HOSP004
ISSUE2FF0462AD0,BB015,A+,Platelets,1,2026-03-19,HOSP001
ISSUEC935716752,BB015,A+,Platelets,4,2026-07-02,HOSP012
ISSUE37CEDFD976,BB015,A+,Platelets,3,2022-05-28,HOSP012
ISSUEEEA9E9C4D9,BB011,O+,RBC,3,2025-05-24,HOSP008
ISSUECC9AC05E4C,BB011,O+,RBC,4,2025-11-09,HOSP011
ISSUEDCBCE1F509,BB011,O+,RBC,4,2022-01-18,HOSP007
ISSUE80707004E3,BB011,O+,RBC,2,2024-08-05,HOSP007
ISSUE89217D1807,BB011,O+,RBC,3,2026-07-13,HOSP007
ISSUEC10B168817,BB011,O+,RBC,3,2023-02-17,HOSP006
ISSUE5CC40B4B76,BB011,O+,RBC,3,2022-07-31,HOSP001
ISSUEC0216049A5,BB011,O+,RBC,1,2026-07-18,HOSP006
ISSUE6DB47C9DE5,BB011,O+,RBC,1,2025-03-17,HOSP002
ISSUEC0593C6A43,BB011,O+,RBC,2,2025-07-03,HOSP004
ISSUE6F166D6761,BB011,O+,Plasma,2,2021-09-20,HOSP002
ISSUE469E9B7892,BB011,O+,Plasma,2,2024-10-23,HOSP004
ISSUE2FF9480DFE,BB011,O+,Plasma,3,2024-07-30,HOSP001
ISSUECB6C1329FB,BB011,O+,Plasma,3,2026-06-09,HOSP001
ISSUEDD4D7D48A8,BB011,O+,Plasma,3,2024-02-19,HOSP006
ISSUE4A9725C012,BB011,O+,Plasma,4,2023-02-13,HOSP004
ISSUE6D1B5E17DC,BB011,O+,Plasma,3,2022-09-28,HOSP003
ISSUE542E31D404,BB011,O+,Plasma,1,2025-05-06,HOSP012
ISSUE2719AF5F77,BB011,O+,Platelets,1,2024-10-23,HOSP006
ISSUE1E5312807D,BB011,O+,Platelets,2,2026-07-12,HOSP010
ISSUEB329D9C4E1,BB011,O+,Platelets,2,2025-05-01,HOSP009
ISSUEC0C7C2B8A3,BB019,A+,RBC,3,2026-06-02,HOSP011
ISSUE3D3F2274ED,BB019,A+,RBC,5,2025-09-15,HOSP011
ISSUE50B5DD2F81,BB019,A+,RBC,5,2026-07-10,HOSP005
ISSUE1261068C41,BB019,A+,RBC,4,2025-02-09,HOSP011
ISSUE80732CB346,BB019,A+,RBC,2,2026-05-03,HOSP008
ISSUE6BD1D1F83E,BB019,A+,RBC,1,2024-11-12,HOSP002
ISSUE89D110E2F8,BB019,A+,Plasma,2,2023-07-26,HOSP006
ISSUEA3F4BCCB51,BB019,A+,Plasma,4,2026-01-16,HOSP007
ISSUE45291C5059,BB019,A+,Plasma,4,2022-09-20,HOSP002
ISSUE30B48D45F7,BB019,A+,Plasma,4,2026-04-29,HOSP008
ISSUE3BAB66884F,BB019,A+,Plasma,1,2026-04-29,HOSP011
ISSUEFE30ED2699,BB019,A+,Plasma,4,2025-10-14,HOSP002
ISSUE9AFAE2E210,BB019,A+,Plasma,3,2023-10-24,HOSP004
ISSUE1E613B8929,BB019,A+,Plasma,2,2025-11-09,HOSP005
ISSUE44024FD3FD,BB008,A+,RBC,9,2026-06-20,HOSP007
ISSUE0A73BD760B,BB008,A+,RBC,6,2023-08-11,HOSP009
ISSUE436073A70B,BB008,A+,RBC,5,2024-11-10,HOSP001
ISSUE88EFB95552,BB008,A+,RBC,4,2024-07-13,HOSP001
ISSUEE1FF3BCCFA,BB008,A+,RBC,2,2025-10-29,HOSP007
ISSUE365ECA1DB1,BB008,A+,RBC,1,2026-06-17,HOSP008
ISSUE5159170BDC,BB008,A+,RBC,3,2024-03-23,HOSP010
ISSUE5811755FE6,BB008,A+,RBC,2,2026-06-24,HOSP005
ISSUEFD93714A9C,BB008,A+,RBC,1,2022-06-11,HOSP002
ISSUE062A694D1E,BB008,A+,RBC,1,2026-05-27,HOSP010
ISSUE72FA9AD131,BB008,A+,RBC,1,2022-11-04,HOSP008
ISSUE425D3CE9A3,BB008,A+,RBC,2,2025-05-30,HOSP009
ISSUE9C5C6F1185,BB008,A+,Plasma,8,2026-06-24,HOSP009
ISSUE1683301896,BB008,A+,Plasma,7,2026-04-20,HOSP002
ISSUE6E8ECB9C19,BB008,A+,Plasma,4,2023-11-14,HOSP006
ISSUEF7B06C24EA,BB008,A+,Plasma,4,2024-07-13,HOSP002
ISSUEDD76B36A7A,BB008,A+,Plasma,3,2025-10-28,HOSP006
ISSUE31143AED54,BB008,A+,Plasma,1,2025-09-16,HOSP009
ISSUE0B8DD308A8,BB008,A+,Plasma,3,2026-06-28,HOSP009
ISSUE57E4623030,BB008,A+,Plasma,2,2024-12-26,HOSP001
ISSUE055CFD164C,BB008,A+,Plasma,2,2026-06-12,HOSP004
ISSUE709AD1D7C2,BB008,A+,Plasma,1,2026-06-10,HOSP009
ISSUE777A5D466E,BB008,A+,Plasma,2,2026-05-23,HOSP012
ISSUE121740568B,BB008,A+,Plasma,2,2024-10-20,HOSP012
ISSUEBA79770903,BB008,A+,Plasma,1,2025-05-31,HOSP007
ISSUEF3969B3004,BB008,A+,Platelets,1,2023-08-12,HOSP002
ISSUE75A312ED4F,BB008,A+,Platelets,2,2026-07-30,HOSP006
ISSUEBCDA9A5E95,BB008,A+,Platelets,1,2024-07-10,HOSP004
ISSUEC4A4B1DAEB,BB008,A+,Platelets,3,2026-06-25,HOSP005
ISSUE897C68EC1D,BB008,A+,Platelets,2,2024-12-30,HOSP005
ISSUE32F32CEDEB,BB008,A+,Platelets,1,2022-10-03,HOSP012
ISSUE056D79D760,BB016,A-,RBC,1,2023-08-14,HOSP012
ISSUEC3529AACE4,BB016,A-,RBC,1,2025-06-23,HOSP005
ISSUEE510BDF57B,BB016,A-,Plasma,1,2023-08-23,HOSP008
ISSUE27D90CAC42,BB018,A-,RBC,1,2024-11-23,HOSP012
ISSUE38C5FADD62,BB018,A-,RBC,1,2022-07-12,HOSP006
ISSUE65569F2161,BB018,A-,RBC,1,2025-08-15,HOSP003
ISSUE217310BD98,BB018,A-,RBC,1,2025-03-01,HOSP008
ISSUECD302AF45E,BB018,A-,Plasma,1,2024-11-24,HOSP011
ISSUE4A6EEE9F19,BB018,A-,Plasma,1,2024-09-28,HOSP012
ISSUE7484800748,BB018,A-,Plasma,1,2025-03-05,HOSP001
ISSUE97A6329B33,BB002,O-,RBC,1,2024-12-31,HOSP003
ISSUE4936DFA369,BB002,O-,Plasma,1,2025-01-02,HOSP002
ISSUEEA721C6973,BB002,O-,Platelets,1,2025-01-06,HOSP010
ISSUEE0C1704673,BB005,AB+,Plasma,1,2025-01-12,HOSP006
ISSUE911DDF172B,BB005,AB+,Plasma,1,2026-03-05,HOSP003
ISSUE8A0DF6E81F,BB005,AB+,Plasma,1,2023-12-21,HOSP002
ISSUE11FEBD120A,BB020,O+,Platelets,2,2026-08-08,HOSP007
ISSUEE748DC616F,BB020,O+,Platelets,3,2023-11-30,HOSP008
ISSUE9CDC3354BB,BB020,O+,Platelets,2,2023-02-01,HOSP003
ISSUEF53F8EF417,BB020,O+,Platelets,3,2024-07-04,HOSP011
ISSUE3464361B78,BB001,B+,RBC,3,2025-09-10,HOSP012
ISSUED43571A756,BB001,B+,RBC,3,2023-04-26,HOSP003
ISSUEC6F2B151E6,BB001,B+,RBC,2,2026-01-10,HOSP010
ISSUE8E45BF0E0B,BB001,B+,RBC,2,2026-03-12,HOSP004
ISSUEF88CB0A36D,BB001,B+,RBC,2,2026-02-10,HOSP005
ISSUE2FD7CD5B27,BB001,B+,RBC,1,2023-10-04,HOSP009
ISSUE48B129B111,BB001,B+,RBC,1,2025-12-13,HOSP003
ISSUE5DB2666538,BB001,B+,RBC,1,2025-08-23,HOSP004
ISSUEC3745330FA,BB001,B+,RBC,1,2026-01-06,HOSP001
ISSUE65D7C58CC5,BB001,B+,Plasma,2,2023-05-01,HOSP009
ISSUE095A2B10F5,BB001,B+,Plasma,2,2024-03-30,HOSP005
ISSUE423CDF4D95,BB001,B+,Plasma,1,2026-01-05,HOSP001
ISSUED62ED3D079,BB001,B+,Plasma,1,2026-03-18,HOSP010
ISSUE2026088EDD,BB001,B+,Plasma,1,2023-09-01,HOSP005
ISSUE94BD15A76F,BB001,B+,Plasma,2,2025-12-09,HOSP006
ISSUECD6F5015B3,BB001,B+,Plasma,1,2026-01-07,HOSP007
ISSUEA4A736E5C0,BB001,B+,Plasma,1,2024-12-14,HOSP010
ISSUE38851D9834,BB001,B+,Plasma,2,2023-11-12,HOSP002
ISSUE06244B840D,BB014,O+,RBC,7,2024-02-29,HOSP004
ISSUE0D7963DB4D,BB014,O+,RBC,2,2024-10-09,HOSP009
ISSUE2C3DF2EC0F,BB014,O+,RBC,3,2026-05-19,HOSP009
ISSUED171607EC5,BB014,O+,RBC,4,2022-09-17,HOSP001
ISSUE173DA03CE5,BB014,O+,RBC,3,2022-06-04,HOSP007
ISSUE97FA48F34C,BB014,O+,RBC,1,2022-07-18,HOSP004
ISSUED3205F796A,BB014,O+,RBC,2,2025-12-28,HOSP012
ISSUE103A9FFE53,BB014,O+,RBC,1,2022-08-20,HOSP005
ISSUE6121FFDEB4,BB014,O+,RBC,1,2026-02-01,HOSP005
ISSUEC5169E7DB8,BB014,O+,RBC,2,2025-08-29,HOSP005
ISSUEFCA4738E0E,BB014,O+,Plasma,2,2024-09-13,HOSP006
ISSUE39147AF170,BB014,O+,Plasma,3,2025-07-25,HOSP003
ISSUE51147B7253,BB014,O+,Plasma,4,2026-04-28,HOSP001
ISSUE3FE44A7707,BB014,O+,Plasma,5,2025-10-16,HOSP009
ISSUE44599928BF,BB014,O+,Plasma,4,2026-02-14,HOSP005
ISSUE5F0272AC38,BB014,O+,Plasma,1,2022-09-24,HOSP005
ISSUE4E4B2C7011,BB014,O+,Plasma,1,2021-10-29,HOSP003
ISSUE8962DE1440,BB014,O+,Plasma,2,2025-12-29,HOSP012
ISSUEDAAE7455CE,BB014,O+,Plasma,1,2022-08-21,HOSP003
ISSUE74530E9F42,BB014,O+,Plasma,1,2025-08-26,HOSP008
ISSUE6D59486E0D,BB014,O+,Platelets,2,2024-03-01,HOSP001
ISSUE9792C4BFF5,BB014,O+,Platelets,3,2024-09-12,HOSP011
ISSUE078AE1CFC4,BB014,O+,Platelets,2,2022-12-12,HOSP011
ISSUE3FDBEC2D4A,BB014,O+,Platelets,2,2025-04-03,HOSP006
ISSUE96A6F5AC3C,BB014,O+,Platelets,2,2026-05-22,HOSP003
ISSUE71B0ED05B7,BB014,O+,Platelets,2,2025-11-28,HOSP011
ISSUE9DA7389EA6,BB014,O+,Platelets,1,2025-09-20,HOSP005
ISSUE16011D5798,BB014,O+,Platelets,1,2025-12-23,HOSP007
ISSUE8D79F8FFD3,BB014,O+,Platelets,1,2026-02-07,HOSP012
ISSUE525F5151CA,BB007,O+,RBC,2,2024-12-23,HOSP005
ISSUE69DDFDCC76,BB007,O+,RBC,5,2022-08-21,HOSP010
ISSUEE79F77F15F,BB007,O+,RBC,3,2026-06-01,HOSP003
ISSUE68ADDF745E,BB007,O+,RBC,2,2025-07-14,HOSP002
ISSUE94EF80C972,BB007,O+,RBC,3,2026-03-11,HOSP003
ISSUE66EA0E165B,BB007,O+,RBC,2,2026-04-16,HOSP008
ISSUE91612C684D,BB007,O+,RBC,1,2026-05-09,HOSP003
ISSUEB0031AC877,BB007,O+,RBC,1,2022-06-08,HOSP007
ISSUE416BD41177,BB007,O+,RBC,1,2025-07-10,HOSP009
ISSUE9A1E6B64A5,BB007,O+,Plasma,2,2025-08-30,HOSP001
ISSUE00FC6B1CD2,BB007,O+,Plasma,2,2026-03-11,HOSP006
ISSUEA21BDBC28B,BB007,O+,Plasma,2,2024-05-28,HOSP009
ISSUE1744FDFD0F,BB007,O+,Plasma,1,2026-05-11,HOSP003
ISSUEE591DC764F,BB007,O+,Plasma,2,2024-12-19,HOSP012
ISSUE47F1E899DC,BB007,O+,Plasma,2,2025-11-15,HOSP002
ISSUEA45FC2E11A,BB007,O+,Plasma,1,2024-09-15,HOSP003
ISSUE09E2C57A5A,BB013,A+,RBC,7,2026-07-22,HOSP005
ISSUE594B8DF32D,BB013,A+,RBC,3,2026-08-09,HOSP011
ISSUEB827A4807E,BB013,A+,RBC,6,2023-06-18,HOSP008
ISSUEA4947AEBBC,BB013,A+,RBC,4,2024-07-13,HOSP003
ISSUECC6D73E765,BB013,A+,RBC,5,2026-01-19,HOSP009
ISSUE98D4B2D806,BB013,A+,RBC,3,2025-10-13,HOSP011
ISSUEA5A8A995F5,BB013,A+,RBC,3,2026-04-30,HOSP004
ISSUE269B2BA1B7,BB013,A+,RBC,2,2025-02-19,HOSP006
ISSUE3B6458B9B2,BB013,A+,RBC,1,2025-09-16,HOSP004
ISSUE372927877A,BB013,A+,RBC,1,2023-10-19,HOSP001
ISSUE9363E1791A,BB013,A+,RBC,2,2023-06-18,HOSP010
ISSUE4A59AB1CE9,BB013,A+,RBC,2,2025-04-20,HOSP001
ISSUE9A1A882D48,BB013,A+,RBC,1,2025-12-30,HOSP006
ISSUE8F82019DBE,BB013,A+,RBC,1,2024-03-28,HOSP012
ISSUE6BC442288C,BB013,A+,RBC,1,2026-08-10,HOSP001
ISSUE0A14893E63,BB013,A+,RBC,1,2026-03-31,HOSP011
ISSUEE7F3E1E310,BB013,A+,RBC,1,2025-12-28,HOSP011
ISSUEF3F88E7FEF,BB013,A+,Plasma,5,2025-09-20,HOSP007
ISSUEDC477A0A3F,BB013,A+,Plasma,6,2026-03-14,HOSP003
ISSUE0589A15A88,BB013,A+,Plasma,3,2024-07-12,HOSP005
ISSUEC33789A474,BB013,A+,Plasma,4,2025-10-07,HOSP003
ISSUE54D2114561,BB013,A+,Plasma,3,2025-06-04,HOSP002
ISSUECEE83122CB,BB013,A+,Plasma,5,2024-07-01,HOSP011
ISSUE1E4833848F,BB002,O+,RBC,4,2023-02-19,HOSP011
ISSUEBE1E60A7D3,BB002,O+,RBC,3,2022-05-06,HOSP003
ISSUE08F2AFB735,BB002,O+,RBC,4,2023-11-25,HOSP006
ISSUE5D74CE4442,BB002,O+,RBC,4,2025-06-08,HOSP007
ISSUE6DFCDECFBC,BB002,O+,RBC,3,2022-06-03,HOSP008
ISSUE5B58DB75E6,BB002,O+,RBC,1,2024-04-08,HOSP003
ISSUE82FDA1978E,BB002,O+,RBC,2,2025-04-15,HOSP007
ISSUECCB665866C,BB002,O+,RBC,2,2024-08-26,HOSP011
ISSUEE5E44E11FB,BB002,O+,Plasma,2,2025-02-01,HOSP002
ISSUEBAAC8FEB0A,BB002,O+,Plasma,5,2022-11-02,HOSP009
ISSUEA780430359,BB002,O+,Plasma,2,2023-02-19,HOSP007
ISSUEEEB2019AD8,BB002,O+,Plasma,2,2024-08-26,HOSP007
ISSUE3C6F9FA5F8,BB002,O+,Plasma,3,2026-01-31,HOSP006
ISSUE07508A26CB,BB002,O+,Plasma,3,2023-09-03,HOSP003
ISSUE32590B3B77,BB002,O+,Plasma,1,2025-04-21,HOSP012
ISSUE172242E8C4,BB002,O+,Platelets,2,2022-10-29,HOSP009
ISSUE6D36339D02,BB002,O+,Platelets,3,2022-06-30,HOSP010
ISSUE33403090C3,BB002,O+,Platelets,2,2022-05-09,HOSP002
ISSUE2F7D5BAAFE,BB002,O+,Platelets,1,2023-10-28,HOSP006
ISSUEF458C792B8,BB006,O+,RBC,6,2024-07-15,HOSP002
ISSUEB735F4FBED,BB006,O+,RBC,4,2024-09-09,HOSP007
ISSUEE0EE032F2A,BB006,O+,RBC,3,2026-03-15,HOSP002
ISSUEAAAD84FC0E,BB006,O+,RBC,2,2023-03-25,HOSP011
ISSUE6359C6034F,BB006,O+,RBC,2,2026-06-18,HOSP007
ISSUE7BE8571D85,BB006,O+,RBC,1,2024-11-10,HOSP001
ISSUED822769249,BB006,O+,RBC,3,2022-11-23,HOSP004
ISSUEA5FD8C7FD1,BB006,O+,RBC,2,2023-01-26,HOSP010
ISSUE786EE82976,BB006,O+,Plasma,4,2025-11-15,HOSP002
ISSUE6DE9057CAA,BB006,O+,Plasma,5,2024-09-18,HOSP011
ISSUEC19D51EE20,BB006,O+,Plasma,1,2026-07-13,HOSP001
ISSUEB2BC1EAF9E,BB006,O+,Plasma,5,2026-07-03,HOSP002
ISSUEFCADC40A14,BB006,O+,Plasma,4,2024-05-09,HOSP011
ISSUE276ACF124C,BB006,O+,Plasma,1,2024-07-23,HOSP009
ISSUE67CA33AD27,BB006,O+,Plasma,2,2026-06-14,HOSP011
ISSUEFB2ADB1007,BB006,O+,Plasma,2,2025-12-10,HOSP002
ISSUE16CABE8414,BB006,O+,Plasma,1,2026-06-16,HOSP008
ISSUE5C94FDF62B,BB006,O+,Plasma,1,2025-08-27,HOSP011
ISSUE0E06F3F673,BB006,O+,Plasma,1,2023-01-27,HOSP003
ISSUEED3425813F,BB004,A-,RBC,2,2025-02-13,HOSP008
ISSUE3967C520E2,BB004,A-,RBC,2,2025-09-29,HOSP004
ISSUE82A2E64E46,BB004,A-,Plasma,1,2026-06-29,HOSP004
ISSUE603B72D58E,BB004,A-,Plasma,1,2024-09-13,HOSP003
ISSUE633408CFDD,BB004,A-,Plasma,1,2025-10-03,HOSP008
ISSUE729FC4614A,BB019,O+,RBC,3,2023-12-21,HOSP012
ISSUE6C58D18574,BB019,O+,RBC,3,2023-02-10,HOSP004
ISSUE09D233D89A,BB019,O+,RBC,5,2025-02-11,HOSP009
ISSUE9E41BC8327,BB019,O+,RBC,3,2025-08-14,HOSP003
ISSUE468C41D5DB,BB019,O+,RBC,2,2024-11-04,HOSP006
ISSUEFB09F6DD08,BB019,O+,RBC,3,2026-07-02,HOSP004
ISSUE619253D563,BB019,O+,Plasma,6,2025-11-07,HOSP011
ISSUE31FD4BCEA6,BB019,O+,Plasma,2,2025-11-15,HOSP001
